CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,IDOSOS_80e,IDOSOS_80e_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_LOCALIZA
11 CRS,CARAJAS,CANAA DOS CARAJAS,1103,571,624,16,0,0,0,154,0,741,624,608
4 CRS,RIO CAETES,CAPANEMA,2684,1427,1169,0,0,19,19,1161,0,2607,1188,1101
5 CRS,METROPOLITANA III,CAPITAO POCO,1016,516,525,0,0,0,0,718,0,1234,525,976
3 CRS,METROPOLITANA III,CASTANHAL,4606,2464,2328,0,0,38,0,2282,0,4784,2328,2418
7 CRS,MARAJO I,CHAVES,432,142,142,0,0,0,0,223,4,365,146,142
2 CRS,METROPOLITANA II,COLARES,245,111,113,0,0,0,0,246,0,357,113,113
12 CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,1846,854,908,0,0,10,0,836,240,1700,1148,823
2 CRS,METROPOLITANA II,CONCORDIA DO PARA,429,211,225,0,0,0,0,345,0,556,225,223
12 CRS,ARAGUAIA,CUMARU DO NORTE,1772,124,79,816,0,0,0,35,0,975,79,51
11 CRS,CARAJAS,CURIONOPOLIS,361,159,136,0,0,0,5,323,0,482,141,76
8 CRS,MARAJO II,CURRALINHO,512,167,186,0,0,0,0,281,0,448,186,231
9 CRS,BAIXO AMAZONAS,CURUA,266,85,90,0,0,0,0,125,80,210,170,165
3 CRS,METROPOLITANA III,CURUCA,696,309,485,0,0,0,0,753,0,1062,485,490
5 CRS,CARAJAS,DOM ELISEU,842,514,324,0,0,0,0,415,0,929,324,312
11 CRS,CARAJAS,ELDORADO DOS CARAJAS,383,187,213,0,0,0,0,283,0,470,213,193
9 CRS,BAIXO AMAZONAS,FARO,334,152,155,0,0,0,0,96,92,248,247,233
12 CRS,ARAGUAIA,FLORESTA DO ARAGUAIA,434,230,135,0,0,0,0,199,0,429,135,132
5 CRS,METROPOLITANA III,GARRAFAO DO NORTE,738,506,262,0,0,0,0,296,0,802,262,257
11 CRS,LAGO TUCURUI,GOIANESIA DO PARA,608,280,241,42,39,0,0,276,0,598,280,154
8 CRS,MARAJO II,GURUPA,312,336,312,0,0,0,0,284,0,620,312,313
3 CRS,METROPOLITANA III,IGARAPE-ACU,701,334,374,0,0,0,0,614,0,948,374,374
